Has Simple Suggested URL;Has equal domain;ID;Link position;Name;Suggested URL;URL;URL to scrape
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/en
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/bg
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/en/content/24/basic-page/contact-us
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/en/content/23/basic-page/links
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/biblioteka/en/
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/en/node/11237
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/en/node/11224
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/en/node/14881/
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/en/aggregator/sources/1
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/en/content/20/basic-page/about-nsi
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/en/content/99/basic-page/legal-basis
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/en/content/104/basic-page/products-and-services
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/en/content/11223/statistical-data
1.0;1.0;000695146;0.0;National Statistical Institute;https://www.nsi.bg/en;https://www.nsi.bg;https://www.nsi.bg/en/content/16215/forestry
0.0;0.0;000695146;1.0;National Statistical Institute;https://www.ine.es/en/welcome.shtml;https://www.nsi.bg;https://www.ine.es/en/welcome.shtml
0.0;0.0;000695146;1.0;National Statistical Institute;https://www.ine.es/en/welcome.shtml;https://www.nsi.bg;https://www.ine.es/infoine/?L=1
0.0;0.0;000695146;1.0;National Statistical Institute;https://www.ine.es/en/welcome.shtml;https://www.nsi.bg;https://www.ine.es/menus/jsalert_es.shtml
0.0;0.0;000695146;1.0;National Statistical Institute;https://www.ine.es/en/welcome.shtml;https://www.nsi.bg;https://www.ine.es/en/indiceweb_en.htm
