ID;Name;Suggested URL;Link position;Has Address;Has Email;Has ID;Has Name;Has Phone;Has Populated place;Has equal domain;Has Simple Suggested URL;OBEC;Known OBEC;sum;Score
000000000;National Statistical Institute;https://ine.es/en/;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0;1.0;0.95
000000000;National Statistical Institute;https://insse.ro/cms/en;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0;1.0;0.99
000000000;National Statistical Institute;https://nis.gov.kh/;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0;1.0;0.91
000000000;National Statistical Institute;https://www.istat.it/en/;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0;1.0;0.9299999999999999
000000000;National Statistical Institute;https://www.niss.org/;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0;1.0;1.0
000000000;National Statistical Institute;https://www.nsi.bg/en/aggregator/sources/1;4.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;;0;4.0;3.84
000000000;National Statistical Institute;https://www.ons.gov.uk/;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;0;2.0;1.88
000000001;STATISTIK AUSTRIA;http://statistik.at/;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;http://www.statistik.at;1;6.0;6.0
000000001;STATISTIK AUSTRIA;http://www.statistik-austria.at/;5.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;http://www.statistik.at;1;6.0;5.7
000000001;STATISTIK AUSTRIA;http://www.statistik.at/web_de/statistiken/index.html;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;http://www.statistik.at;1;6.0;5.94
000000001;STATISTIK AUSTRIA;https://wn.com/Statistik_Austria;6.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;http://www.statistik.at;1;2.0;1.88
000000001;STATISTIK AUSTRIA;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;http://www.statistik.at;1;1.0;0.92
000000001;STATISTIK AUSTRIA;https://www.ots.at/pressemappe/209/statistik-austria;9.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;http://www.statistik.at;1;2.0;1.82
000000002;STATISTIK AUSTRIA;http://statistik.at/;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;;0;6.0;6.0
000000002;STATISTIK AUSTRIA;http://www.statistik-austria.at/;5.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;;0;6.0;5.7
000000002;STATISTIK AUSTRIA;http://www.statistik.at/web_de/statistiken/index.html;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;;0;5.0;4.95
000000002;STATISTIK AUSTRIA;https://wn.com/Statistik_Austria;6.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;;0;2.0;1.88
000000002;STATISTIK AUSTRIA;https://www.ams.at/arbeitsmarktdaten-und-medien/arbeitsmarkt-daten-und-arbeitsmarkt-forschung/arbeitsmarktdaten;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;;0;1.0;0.92
