ID;Name;Suggested URL;Link position;Has equal domain;Has Simple Suggested URL;OBEC;Known OBEC;sum;Score;predict;0;1
000000001;STATISTIK AUSTRIA;https://wn.com/Statistik_Austria;6.0;0.0;0.0;http://www.statistik.at;1;2.0;1.88;0.0;0.8347177726280626;0.16528222737193743
000000006;Institute of Statistics;https://insse.ro/cms/en;3.0;0.0;0.0;http://www.instat.gov.al;1;1.0;0.97;0.0;0.8888208348783933;0.11117916512160679
000000008;Institute of Statistics;https://insse.ro/cms/en;3.0;0.0;0.0;http://www.instat.gov.al;1;1.0;0.97;0.0;0.8888208348783933;0.11117916512160679
000000009;Institute of Statistics;https://insse.ro/cms/en;3.0;0.0;0.0;http://www.instat.gov.al;1;1.0;0.97;0.0;0.8888208348783933;0.11117916512160679
000000011;Departament d´Estadística;https://www.bcn.cat/estadistica/castella/index.htm;0.0;0.0;0.0;https://www.estadistica.ad/serveiestudis/web/index.asp;1;0.0;0.0;0.0;0.9287966909886293;0.07120330901137077
000000012;Departament d´Estadística;https://www.bcn.cat/estadistica/castella/index.htm;0.0;0.0;0.0;https://www.estadistica.ad/serveiestudis/web/index.asp;1;0.0;0.0;0.0;0.9287966909886293;0.07120330901137077
000000014;Departament d´Estadística;https://www.bcn.cat/estadistica/castella/index.htm;0.0;0.0;0.0;https://www.estadistica.ad/serveiestudis/web/index.asp;1;0.0;0.0;0.0;0.9287966909886293;0.07120330901137077
000000015;Departament d´Estadística;https://www.bcn.cat/estadistica/castella/index.htm;0.0;0.0;0.0;https://www.estadistica.ad/serveiestudis/web/index.asp;1;0.0;0.0;0.0;0.9287966909886293;0.07120330901137077
000000016;Departament d´Estadística;https://www.bcn.cat/estadistica/castella/index.htm;0.0;0.0;0.0;https://www.estadistica.ad/serveiestudis/web/index.asp;1;0.0;0.0;0.0;0.9287966909886293;0.07120330901137077
000000017;National Statistical Committee of the Republic of Belarus;https://www.belstat.gov.by/en/;0.0;1.0;1.0;https://www.belstat.gov.by;1;5.0;5.0;0.0;0.5026952666308093;0.49730473336919073
000000020;Statistics Belgium;https://www.statista.com/topics/2384/belgium/;2.0;0.0;0.0;https://statbel.fgov.be;1;0.0;0.0;0.0;0.9287966909886293;0.07120330901137077
000000021;Statistics Belgium;https://www.statista.com/topics/2384/belgium/;2.0;0.0;0.0;https://statbel.fgov.be;1;0.0;0.0;0.0;0.9287966909886293;0.07120330901137077
000000022;Statistics Belgium;https://statbel.fgov.be/en;0.0;1.0;1.0;https://statbel.fgov.be;1;5.0;5.0;0.0;0.5026952666308093;0.49730473336919073
000000024;Statistisches Bundesamt;https://www.destatis.de/;0.0;1.0;1.0;https://www.destatis.de;1;4.0;4.0;0.0;0.5777200119490367;0.4222799880509634
